Timestamp,Event
2026-05-29 11:53:05 PM,Vehicle Detected
2026-05-29 11:53:07 PM,Vehicle Detected
2026-05-29 11:56:53 PM,Vehicle Detected
2026-05-29 11:59:09 PM,Vehicle Detected
2026-05-29 11:59:12 PM,Vehicle Detected
2026-05-29 11:59:21 PM,Vehicle Detected
2026-05-30 12:03:48 AM,Vehicle Detected
2026-05-30 12:04:48 AM,Vehicle Detected
2026-05-30 12:06:43 AM,Vehicle Detected
2026-05-30 12:09:40 AM,Vehicle Detected
2026-05-30 12:12:21 AM,Vehicle Detected
2026-05-30 12:12:33 AM,Vehicle Detected
2026-05-30 12:14:01 AM,Vehicle Detected
2026-05-30 12:14:03 AM,Vehicle Detected
2026-05-30 12:14:12 AM,Vehicle Detected
2026-05-30 12:14:35 AM,Vehicle Detected
2026-05-30 12:14:51 AM,Vehicle Detected
2026-05-30 12:14:59 AM,Vehicle Detected
2026-05-30 12:15:40 AM,Vehicle Detected
2026-05-30 12:16:57 AM,Vehicle Detected
2026-05-30 12:17:38 AM,Vehicle Detected
2026-05-30 12:18:11 AM,Vehicle Detected
2026-05-30 12:18:36 AM,Vehicle Detected
2026-05-30 12:19:10 AM,Vehicle Detected
2026-05-30 12:21:15 AM,Vehicle Detected
2026-05-30 12:23:04 AM,Vehicle Detected
2026-05-30 12:23:36 AM,Vehicle Detected
2026-05-30 12:25:27 AM,Vehicle Detected
2026-05-30 12:27:08 AM,Vehicle Detected
2026-05-30 12:28:52 AM,Vehicle Detected
2026-05-30 12:29:58 AM,Vehicle Detected
2026-05-30 12:31:51 AM,Vehicle Detected
2026-05-30 12:32:16 AM,Vehicle Detected
2026-05-30 12:32:18 AM,Vehicle Detected
2026-05-30 12:32:57 AM,Vehicle Detected
2026-05-30 12:34:41 AM,Vehicle Detected
2026-05-30 12:35:05 AM,Vehicle Detected
2026-05-30 12:36:01 AM,Vehicle Detected
2026-05-30 12:36:15 AM,Vehicle Detected
2026-05-30 12:36:46 AM,Vehicle Detected
2026-05-30 12:37:09 AM,Vehicle Detected
2026-05-30 12:43:29 AM,Vehicle Detected
2026-05-30 12:43:52 AM,Vehicle Detected
2026-05-30 12:43:59 AM,Vehicle Detected
2026-05-30 12:44:40 AM,Vehicle Detected
2026-05-30 12:45:37 AM,Vehicle Detected
2026-05-30 12:46:36 AM,Vehicle Detected
2026-05-30 12:47:07 AM,Vehicle Detected
2026-05-30 12:47:35 AM,Vehicle Detected
2026-05-30 12:47:55 AM,Vehicle Detected
2026-05-30 12:48:08 AM,Vehicle Detected
2026-05-30 12:49:37 AM,Vehicle Detected
2026-05-30 12:50:43 AM,Vehicle Detected
2026-05-30 12:53:35 AM,Vehicle Detected
2026-05-30 12:56:05 AM,Vehicle Detected
2026-05-30 12:56:59 AM,Vehicle Detected
2026-05-30 12:58:32 AM,Vehicle Detected
2026-05-30 12:59:32 AM,Vehicle Detected
2026-05-30 01:02:30 AM,Vehicle Detected
2026-05-30 01:03:19 AM,Vehicle Detected
2026-05-30 01:04:31 AM,Vehicle Detected
2026-05-30 01:10:28 AM,Vehicle Detected
2026-05-30 01:11:40 AM,Vehicle Detected
2026-05-30 01:13:31 AM,Vehicle Detected
2026-05-30 01:15:26 AM,Vehicle Detected
2026-05-30 01:16:06 AM,Vehicle Detected
2026-05-30 01:17:07 AM,Vehicle Detected
2026-05-30 01:17:22 AM,Vehicle Detected
2026-05-30 01:18:26 AM,Vehicle Detected
2026-05-30 01:19:20 AM,Vehicle Detected
2026-05-30 01:20:09 AM,Vehicle Detected
2026-05-30 01:22:03 AM,Vehicle Detected
2026-05-30 01:23:33 AM,Vehicle Detected
2026-05-30 01:27:42 AM,Vehicle Detected
2026-05-30 01:28:55 AM,Vehicle Detected
2026-05-30 01:30:05 AM,Vehicle Detected
2026-05-30 01:30:32 AM,Vehicle Detected
2026-05-30 01:30:34 AM,Vehicle Detected
2026-05-30 01:32:37 AM,Vehicle Detected
2026-05-30 01:35:32 AM,Vehicle Detected
2026-05-30 01:35:47 AM,Vehicle Detected
2026-05-30 01:38:39 AM,Vehicle Detected
2026-05-30 01:44:04 AM,Vehicle Detected
2026-05-30 01:55:12 AM,Vehicle Detected
2026-05-30 01:55:24 AM,Vehicle Detected
2026-05-30 01:57:54 AM,Vehicle Detected
2026-05-30 01:58:40 AM,Vehicle Detected
2026-05-30 01:59:57 AM,Vehicle Detected
2026-05-30 02:09:26 AM,Vehicle Detected
2026-05-30 02:11:38 AM,Vehicle Detected
2026-05-30 02:11:58 AM,Vehicle Detected
2026-05-30 02:12:16 AM,Vehicle Detected
2026-05-30 02:23:46 AM,Vehicle Detected
2026-05-30 02:23:48 AM,Vehicle Detected
2026-05-30 02:23:52 AM,Vehicle Detected
2026-05-30 02:26:01 AM,Vehicle Detected
2026-05-30 02:28:48 AM,Vehicle Detected
2026-05-30 02:32:20 AM,Vehicle Detected
2026-05-30 02:32:37 AM,Vehicle Detected
2026-05-30 02:36:06 AM,Vehicle Detected
2026-05-30 02:37:46 AM,Vehicle Detected
2026-05-30 02:40:06 AM,Vehicle Detected
2026-05-30 02:55:09 AM,Vehicle Detected
2026-05-30 03:03:59 AM,Vehicle Detected
2026-05-30 03:05:30 AM,Vehicle Detected
2026-05-30 03:07:53 AM,Vehicle Detected
2026-05-30 03:10:06 AM,Vehicle Detected
2026-05-30 03:12:54 AM,Vehicle Detected
2026-05-30 03:20:08 AM,Vehicle Detected
2026-05-30 03:23:40 AM,Vehicle Detected
2026-05-30 03:24:43 AM,Vehicle Detected
2026-05-30 03:33:10 AM,Vehicle Detected
2026-05-30 03:34:21 AM,Vehicle Detected
2026-05-30 03:42:26 AM,Vehicle Detected
2026-05-30 03:46:58 AM,Vehicle Detected
2026-05-30 03:47:15 AM,Vehicle Detected
2026-05-30 04:13:49 AM,Vehicle Detected
2026-05-30 04:42:47 AM,Vehicle Detected
2026-05-30 04:45:01 AM,Vehicle Detected
2026-05-30 04:47:46 AM,Vehicle Detected
2026-05-30 04:50:13 AM,Vehicle Detected
2026-05-30 04:57:27 AM,Vehicle Detected
2026-05-30 05:01:34 AM,Vehicle Detected
2026-05-30 05:01:41 AM,Vehicle Detected
2026-05-30 05:02:34 AM,Vehicle Detected
2026-05-30 05:06:51 AM,Vehicle Detected
2026-05-30 05:06:59 AM,Vehicle Detected
2026-05-30 05:10:14 AM,Vehicle Detected
2026-05-30 05:13:43 AM,Vehicle Detected
2026-05-30 05:15:39 AM,Vehicle Detected
2026-05-30 05:16:29 AM,Vehicle Detected
2026-05-30 05:20:46 AM,Vehicle Detected
2026-05-30 05:21:54 AM,Vehicle Detected
2026-05-30 05:36:17 AM,Vehicle Detected
2026-05-30 05:37:04 AM,Vehicle Detected
2026-05-30 05:45:14 AM,Vehicle Detected
2026-05-30 05:46:12 AM,Vehicle Detected
2026-05-30 05:46:47 AM,Vehicle Detected
2026-05-30 05:47:06 AM,Vehicle Detected
2026-05-30 05:48:36 AM,Vehicle Detected
2026-05-30 05:48:49 AM,Vehicle Detected
2026-05-30 05:49:07 AM,Vehicle Detected
2026-05-30 05:49:20 AM,Vehicle Detected
2026-05-30 05:49:37 AM,Vehicle Detected
2026-05-30 05:51:07 AM,Vehicle Detected
2026-05-30 05:51:13 AM,Vehicle Detected
2026-05-30 05:51:22 AM,Vehicle Detected
2026-05-30 05:52:39 AM,Vehicle Detected
2026-05-30 05:54:16 AM,Vehicle Detected
2026-05-30 05:55:33 AM,Vehicle Detected
2026-05-30 05:55:59 AM,Vehicle Detected
2026-05-30 05:56:23 AM,Vehicle Detected
2026-05-30 06:00:06 AM,Vehicle Detected
2026-05-30 06:00:13 AM,Vehicle Detected
2026-05-30 06:01:41 AM,Vehicle Detected
2026-05-30 06:01:53 AM,Vehicle Detected
2026-05-30 06:03:17 AM,Vehicle Detected
2026-05-30 06:04:11 AM,Vehicle Detected
2026-05-30 06:05:41 AM,Vehicle Detected
2026-05-30 06:05:43 AM,Vehicle Detected
2026-05-30 06:06:12 AM,Vehicle Detected
2026-05-30 06:06:30 AM,Vehicle Detected
2026-05-30 06:07:53 AM,Vehicle Detected
2026-05-30 06:14:19 AM,Vehicle Detected
2026-05-30 06:15:06 AM,Vehicle Detected
2026-05-30 06:16:15 AM,Vehicle Detected
2026-05-30 06:17:18 AM,Vehicle Detected
2026-05-30 06:17:57 AM,Vehicle Detected
2026-05-30 06:18:14 AM,Vehicle Detected
2026-05-30 06:18:26 AM,Vehicle Detected
2026-05-30 06:18:28 AM,Vehicle Detected
2026-05-30 06:19:43 AM,Vehicle Detected
2026-05-30 06:20:24 AM,Vehicle Detected
2026-05-30 06:20:27 AM,Vehicle Detected
2026-05-30 06:20:36 AM,Vehicle Detected
2026-05-30 06:23:12 AM,Vehicle Detected
2026-05-30 06:25:57 AM,Vehicle Detected
2026-05-30 06:26:59 AM,Vehicle Detected
2026-05-30 06:29:45 AM,Vehicle Detected
2026-05-30 06:29:57 AM,Vehicle Detected
2026-05-30 06:30:58 AM,Vehicle Detected
2026-05-30 06:31:09 AM,Vehicle Detected
2026-05-30 06:32:03 AM,Vehicle Detected
2026-05-30 06:33:18 AM,Vehicle Detected
2026-05-30 06:33:30 AM,Vehicle Detected
2026-05-30 06:34:27 AM,Vehicle Detected
2026-05-30 06:35:13 AM,Vehicle Detected
2026-05-30 06:35:23 AM,Vehicle Detected
2026-05-30 06:35:31 AM,Vehicle Detected
2026-05-30 06:35:38 AM,Vehicle Detected
2026-05-30 06:36:51 AM,Vehicle Detected
2026-05-30 06:37:44 AM,Vehicle Detected
2026-05-30 06:37:53 AM,Vehicle Detected
2026-05-30 06:38:03 AM,Vehicle Detected
2026-05-30 06:38:12 AM,Vehicle Detected
2026-05-30 06:38:28 AM,Vehicle Detected
2026-05-30 06:38:35 AM,Vehicle Detected
2026-05-30 06:40:50 AM,Vehicle Detected
2026-05-30 06:41:21 AM,Vehicle Detected
2026-05-30 06:41:41 AM,Vehicle Detected
2026-05-30 06:42:16 AM,Vehicle Detected
2026-05-30 06:42:35 AM,Vehicle Detected
2026-05-30 06:44:03 AM,Vehicle Detected
2026-05-30 06:44:21 AM,Vehicle Detected
2026-05-30 06:44:31 AM,Vehicle Detected
2026-05-30 06:44:40 AM,Vehicle Detected
2026-05-30 06:44:59 AM,Vehicle Detected
2026-05-30 06:45:10 AM,Vehicle Detected
2026-05-30 06:45:53 AM,Vehicle Detected
2026-05-30 06:46:01 AM,Vehicle Detected
2026-05-30 06:47:32 AM,Vehicle Detected
2026-05-30 06:47:38 AM,Vehicle Detected
2026-05-30 06:48:04 AM,Vehicle Detected
2026-05-30 06:48:08 AM,Vehicle Detected
2026-05-30 06:48:17 AM,Vehicle Detected
2026-05-30 06:48:52 AM,Vehicle Detected
2026-05-30 06:49:56 AM,Vehicle Detected
2026-05-30 06:50:04 AM,Vehicle Detected
2026-05-30 06:50:32 AM,Vehicle Detected
2026-05-30 06:50:53 AM,Vehicle Detected
2026-05-30 06:50:59 AM,Vehicle Detected
